n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample
100,0.01,1,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,6,3,0.8,0.9
100,0.01,2,3,0.8,0.9
100,0.01,3,3,0.8,0.9
100,0.01,5,3,0.8,0.9
100,0.01,2,3,0.8,0.9
100,0.01,4,3,0.8,0.9
100,0.01,3,3,0.8,0.9
100,0.01,1,5,0.8,0.9
100,0.01,3,3,0.8,0.9
100,0.01,4,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,5,3,0.8,0.9
100,0.01,7,8,0.8,0.9
100,0.01,4,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,5,8,0.9,0.9
100,0.01,7,8,0.8,0.9
100,0.01,3,3,0.8,0.9
100,0.01,5,3,0.8,0.9
100,0.01,2,3,0.8,0.9
100,0.01,2,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,3,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,5,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,4,3,0.8,0.8
100,0.01,1,3,0.8,0.9
100,0.01,1,3,0.9,0.9
100,0.01,1,3,0.9,0.9
100,0.01,1,3,0.9,0.9
100,0.01,1,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,1,3,0.9,0.9
100,0.01,7,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,6,3,0.8,0.9
100,0.01,1,3,0.9,0.9
100,0.01,7,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,6,3,0.8,0.9
100,0.01,7,3,0.8,0.8
100,0.01,4,3,0.8,0.9
100,0.01,6,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,5,3,0.8,0.9
100,0.01,6,3,0.8,0.9
100,0.01,7,8,0.8,0.9
100,0.01,1,3,0.8,0.8
100,0.01,7,3,0.8,0.9
100,0.01,3,3,0.9,0.9
100,0.01,1,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,7,8,0.9,0.9
100,0.01,6,3,0.8,0.9
100,0.01,2,3,0.8,0.9
100,0.01,5,3,0.8,0.9
100,0.01,5,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,5,3,0.8,0.9
100,0.01,3,3,0.8,0.9
100,0.01,3,3,0.8,0.9
100,0.01,2,3,0.8,0.9
100,0.01,6,3,0.8,0.8
100,0.01,2,3,0.8,0.8
100,0.01,2,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,7,3,0.9,0.9
100,0.01,7,8,0.8,0.8
100,0.01,6,4,0.9,0.9
100,0.01,2,3,0.8,0.9
100,0.01,5,3,0.8,0.9
100,0.01,7,8,0.8,0.9
100,0.01,6,3,0.8,0.9
100,0.01,7,8,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,7,8,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,7,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,5,6,0.9,0.8
100,0.01,4,8,0.9,0.9
100,0.01,1,3,0.9,0.9
100,0.01,2,3,0.8,0.9
100,0.01,1,3,0.9,0.9
100,0.01,7,3,0.8,0.9
100,0.01,4,3,0.8,0.9
100,0.01,1,3,0.8,0.9
100,0.01,2,3,0.8,0.9
100,0.01,6,3,0.8,0.8
100,0.01,1,3,0.9,0.9
100,0.01,4,3,0.8,0.9
100,0.01,1,3,0.8,0.9
